a1,a2,a3,a4,a5,a6,a7,class
FlaPERIOD,COMMA,fined,STR,25COMMA000,SEMICOLON,William,STR
COMMA,fined,STR,25COMMA000,SEMICOLON,William,Harold,CD
fined,STR,25COMMA000,SEMICOLON,William,Harold,Floyd,COLON
STR,25COMMA000,SEMICOLON,William,Harold,Floyd,COMMA,NNP
25COMMA000,SEMICOLON,William,Harold,Floyd,COMMA,Houston,NNP
SEMICOLON,William,Harold,Floyd,COMMA,Houston,COMMA,NNP
William,Harold,Floyd,COMMA,Houston,COMMA,STR,COMMA
Harold,Floyd,COMMA,Houston,COMMA,STR,100COMMA000,NNP
Floyd,COMMA,Houston,COMMA,STR,100COMMA000,SEMICOLON,COMMA
COMMA,Houston,COMMA,STR,100COMMA000,SEMICOLON,Michael,STR
Houston,COMMA,STR,100COMMA000,SEMICOLON,Michael,Anthony,CD
COMMA,STR,100COMMA000,SEMICOLON,Michael,Anthony,Houston,COLON
STR,100COMMA000,SEMICOLON,Michael,Anthony,Houston,COMMA,NNP
100COMMA000,SEMICOLON,Michael,Anthony,Houston,COMMA,Bronx,NNP
SEMICOLON,Michael,Anthony,Houston,COMMA,Bronx,COMMA,NNP
Michael,Anthony,Houston,COMMA,Bronx,COMMA,NPERIODYPERIOD,COMMA
Anthony,Houston,COMMA,Bronx,COMMA,NPERIODYPERIOD,COMMA,NNP
Houston,COMMA,Bronx,COMMA,NPERIODYPERIOD,COMMA,STR,COMMA
COMMA,Bronx,COMMA,NPERIODYPERIOD,COMMA,STR,15COMMA000,NNP
Bronx,COMMA,NPERIODYPERIOD,COMMA,STR,15COMMA000,SEMICOLON,COMMA
COMMA,NPERIODYPERIOD,COMMA,STR,15COMMA000,SEMICOLON,Amin,STR
NPERIODYPERIOD,COMMA,STR,15COMMA000,SEMICOLON,Amin,Jalaalwalikraam,CD
COMMA,STR,15COMMA000,SEMICOLON,Amin,Jalaalwalikraam,COMMA,COLON
STR,15COMMA000,SEMICOLON,Amin,Jalaalwalikraam,COMMA,Glenham,NNP
15COMMA000,SEMICOLON,Amin,Jalaalwalikraam,COMMA,Glenham,COMMA,NNP
SEMICOLON,Amin,Jalaalwalikraam,COMMA,Glenham,COMMA,NPERIODYPERIOD,COMMA
Amin,Jalaalwalikraam,COMMA,Glenham,COMMA,NPERIODYPERIOD,COMMA,NNP
Jalaalwalikraam,COMMA,Glenham,COMMA,NPERIODYPERIOD,COMMA,STR,COMMA
COMMA,Glenham,COMMA,NPERIODYPERIOD,COMMA,STR,60COMMA000,NNP
Glenham,COMMA,NPERIODYPERIOD,COMMA,STR,60COMMA000,SEMICOLON,COMMA
COMMA,NPERIODYPERIOD,COMMA,STR,60COMMA000,SEMICOLON,Richard,STR
NPERIODYPERIOD,COMMA,STR,60COMMA000,SEMICOLON,Richard,FPERIOD,CD
COMMA,STR,60COMMA000,SEMICOLON,Richard,FPERIOD,Knapp,COLON
STR,60COMMA000,SEMICOLON,Richard,FPERIOD,Knapp,COMMA,NNP
60COMMA000,SEMICOLON,Richard,FPERIOD,Knapp,COMMA,London,NNP
SEMICOLON,Richard,FPERIOD,Knapp,COMMA,London,COMMA,NNP
Richard,FPERIOD,Knapp,COMMA,London,COMMA,STR,COMMA
FPERIOD,Knapp,COMMA,London,COMMA,STR,10COMMA000,NNP
Knapp,COMMA,London,COMMA,STR,10COMMA000,and,COMMA
COMMA,London,COMMA,STR,10COMMA000,and,30-day,STR
London,COMMA,STR,10COMMA000,and,30-day,suspension,CD
COMMA,STR,10COMMA000,and,30-day,suspension,SEMICOLON,CC
STR,10COMMA000,and,30-day,suspension,SEMICOLON,Deborah,JJ
10COMMA000,and,30-day,suspension,SEMICOLON,Deborah,Renee,NN
and,30-day,suspension,SEMICOLON,Deborah,Renee,Martin,COLON
30-day,suspension,SEMICOLON,Deborah,Renee,Martin,COMMA,NNP
suspension,SEMICOLON,Deborah,Renee,Martin,COMMA,StPERIOD,NNP
SEMICOLON,Deborah,Renee,Martin,COMMA,StPERIOD,Louis,NNP
Deborah,Renee,Martin,COMMA,StPERIOD,Louis,COMMA,COMMA
Renee,Martin,COMMA,StPERIOD,Louis,COMMA,STR,NNP
Martin,COMMA,StPERIOD,Louis,COMMA,STR,15COMMA000,NNP
COMMA,StPERIOD,Louis,COMMA,STR,15COMMA000,SEMICOLON,COMMA
StPERIOD,Louis,COMMA,STR,15COMMA000,SEMICOLON,Joseph,STR
Louis,COMMA,STR,15COMMA000,SEMICOLON,Joseph,Francis,CD
COMMA,STR,15COMMA000,SEMICOLON,Joseph,Francis,Muscolina,COLON
STR,15COMMA000,SEMICOLON,Joseph,Francis,Muscolina,JrPERIOD,NNP
15COMMA000,SEMICOLON,Joseph,Francis,Muscolina,JrPERIOD,COMMA,NNP
SEMICOLON,Joseph,Francis,Muscolina,JrPERIOD,COMMA,Palisades,NNP
Joseph,Francis,Muscolina,JrPERIOD,COMMA,Palisades,Park,NNP
Francis,Muscolina,JrPERIOD,COMMA,Palisades,Park,COMMA,COMMA
Muscolina,JrPERIOD,COMMA,Palisades,Park,COMMA,NPERIODJPERIOD,NNP
JrPERIOD,COMMA,Palisades,Park,COMMA,NPERIODJPERIOD,COMMA,NNP
COMMA,Palisades,Park,COMMA,NPERIODJPERIOD,COMMA,STR,COMMA
Palisades,Park,COMMA,NPERIODJPERIOD,COMMA,STR,15COMMA000,NNP
Park,COMMA,NPERIODJPERIOD,COMMA,STR,15COMMA000,SEMICOLON,COMMA
COMMA,NPERIODJPERIOD,COMMA,STR,15COMMA000,SEMICOLON,Robert,STR
NPERIODJPERIOD,COMMA,STR,15COMMA000,SEMICOLON,Robert,CPERIOD,CD
COMMA,STR,15COMMA000,SEMICOLON,Robert,CPERIOD,Najarian,COLON
STR,15COMMA000,SEMICOLON,Robert,CPERIOD,Najarian,COMMA,NNP
15COMMA000,SEMICOLON,Robert,CPERIOD,Najarian,COMMA,Brooklyn,NNP
SEMICOLON,Robert,CPERIOD,Najarian,COMMA,Brooklyn,Park,NNP
Robert,CPERIOD,Najarian,COMMA,Brooklyn,Park,COMMA,COMMA
CPERIOD,Najarian,COMMA,Brooklyn,Park,COMMA,MinnPERIOD,NNP
Najarian,COMMA,Brooklyn,Park,COMMA,MinnPERIOD,COMMA,NNP
COMMA,Brooklyn,Park,COMMA,MinnPERIOD,COMMA,STR,COMMA
Brooklyn,Park,COMMA,MinnPERIOD,COMMA,STR,15COMMA000,NNP
Park,COMMA,MinnPERIOD,COMMA,STR,15COMMA000,SEMICOLON,COMMA
COMMA,MinnPERIOD,COMMA,STR,15COMMA000,SEMICOLON,Edward,STR
MinnPERIOD,COMMA,STR,15COMMA000,SEMICOLON,Edward,Robert,CD
COMMA,STR,15COMMA000,SEMICOLON,Edward,Robert,Norwick,COLON
STR,15COMMA000,SEMICOLON,Edward,Robert,Norwick,COMMA,NNP
15COMMA000,SEMICOLON,Edward,Robert,Norwick,COMMA,Nesconset,NNP
SEMICOLON,Edward,Robert,Norwick,COMMA,Nesconset,COMMA,NNP
Edward,Robert,Norwick,COMMA,Nesconset,COMMA,NPERIODYPERIOD,COMMA
Robert,Norwick,COMMA,Nesconset,COMMA,NPERIODYPERIOD,COMMA,NNP
Norwick,COMMA,Nesconset,COMMA,NPERIODYPERIOD,COMMA,STR,COMMA
COMMA,Nesconset,COMMA,NPERIODYPERIOD,COMMA,STR,30COMMA000,NNP
Nesconset,COMMA,NPERIODYPERIOD,COMMA,STR,30COMMA000,PERIOD,COMMA
COMMA,NPERIODYPERIOD,COMMA,STR,30COMMA000,PERIOD,_,STR
NPERIODYPERIOD,COMMA,STR,30COMMA000,PERIOD,_,_,CD
COMMA,STR,30COMMA000,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,There,SQs,something,DBQ
_,_,DBQ,There,SQs,something,there,EX
_,DBQ,There,SQs,something,there,COMMA,VBZ
DBQ,There,SQs,something,there,COMMA,all,NN
There,SQs,something,there,COMMA,all,right,RB
SQs,something,there,COMMA,all,right,PERIOD,COMMA
something,there,COMMA,all,right,PERIOD,_,RB
there,COMMA,all,right,PERIOD,_,_,RB
COMMA,all,right,PERIOD,_,_,_,PERIOD
_,_,_,Concerned,for,her,state,VBN
_,_,Concerned,for,her,state,of,IN
_,Concerned,for,her,state,of,mind,PRPSTR
Concerned,for,her,state,of,mind,COMMA,NN
for,her,state,of,mind,COMMA,I,IN
her,state,of,mind,COMMA,I,dropped,NN
state,of,mind,COMMA,I,dropped,them,COMMA
of,mind,COMMA,I,dropped,them,--,PRP
mind,COMMA,I,dropped,them,--,and,VBD
COMMA,I,dropped,them,--,and,the,PRP
I,dropped,them,--,and,the,market,COLON
dropped,them,--,and,the,market,instantly,CC
them,--,and,the,market,instantly,began,DT
--,and,the,market,instantly,began,its,NN
and,the,market,instantly,began,its,steady,RB
the,market,instantly,began,its,steady,climb,VBD
market,instantly,began,its,steady,climb,back,PRPSTR
instantly,began,its,steady,climb,back,to,JJ
began,its,steady,climb,back,to,health,NN
its,steady,climb,back,to,health,PERIOD,RB
steady,climb,back,to,health,PERIOD,_,TO
climb,back,to,health,PERIOD,_,_,NN
back,to,health,PERIOD,_,_,_,PERIOD
_,_,_,Shortly,after,completing,the,RB
_,_,Shortly,after,completing,the,STR,IN
_,Shortly,after,completing,the,STR,1PERIOD56,VBG
Shortly,after,completing,the,STR,1PERIOD56,billion,DT
after,completing,the,STR,1PERIOD56,billion,acquisition,STR
completing,the,STR,1PERIOD56,billion,acquisition,of,CD
the,STR,1PERIOD56,billion,acquisition,of,West,CD
STR,1PERIOD56,billion,acquisition,of,West,Point-Pepperell,NN
1PERIOD56,billion,acquisition,of,West,Point-Pepperell,IncPERIOD,IN
billion,acquisition,of,West,Point-Pepperell,IncPERIOD,in,NNP
acquisition,of,West,Point-Pepperell,IncPERIOD,in,April,NNP
of,West,Point-Pepperell,IncPERIOD,in,April,COMMA,NNP
West,Point-Pepperell,IncPERIOD,in,April,COMMA,MrPERIOD,IN
Point-Pepperell,IncPERIOD,in,April,COMMA,MrPERIOD,Farley,NNP
IncPERIOD,in,April,COMMA,MrPERIOD,Farley,SQs,COMMA
in,April,COMMA,MrPERIOD,Farley,SQs,holding,NNP
April,COMMA,MrPERIOD,Farley,SQs,holding,company,NNP
COMMA,MrPERIOD,Farley,SQs,holding,company,COMMA,POS
MrPERIOD,Farley,SQs,holding,company,COMMA,Farley,VBG
Farley,SQs,holding,company,COMMA,Farley,IncPERIOD,NN
SQs,holding,company,COMMA,Farley,IncPERIOD,COMMA,COMMA
holding,company,COMMA,Farley,IncPERIOD,COMMA,said,NNP
company,COMMA,Farley,IncPERIOD,COMMA,said,it,NNP
COMMA,Farley,IncPERIOD,COMMA,said,it,was,COMMA
Farley,IncPERIOD,COMMA,said,it,was,considering,VBD
IncPERIOD,COMMA,said,it,was,considering,the,PRP
COMMA,said,it,was,considering,the,sale,VBD
said,it,was,considering,the,sale,of,VBG
it,was,considering,the,sale,of,Cluett,DT
was,considering,the,sale,of,Cluett,COMMA,NN
considering,the,sale,of,Cluett,COMMA,a,IN
the,sale,of,Cluett,COMMA,a,leading,NNP
sale,of,Cluett,COMMA,a,leading,shirt,COMMA
of,Cluett,COMMA,a,leading,shirt,maker,DT
Cluett,COMMA,a,leading,shirt,maker,and,JJ
COMMA,a,leading,shirt,maker,and,one,NN
a,leading,shirt,maker,and,one,of,NN
leading,shirt,maker,and,one,of,West,CC
shirt,maker,and,one,of,West,Point-Pepperell,CD
maker,and,one,of,West,Point-Pepperell,SQs,IN
and,one,of,West,Point-Pepperell,SQs,biggest,NNP
one,of,West,Point-Pepperell,SQs,biggest,units,NNP
of,West,Point-Pepperell,SQs,biggest,units,PERIOD,POS
West,Point-Pepperell,SQs,biggest,units,PERIOD,_,JJS
Point-Pepperell,SQs,biggest,units,PERIOD,_,_,NNS
SQs,biggest,units,PERIOD,_,_,_,PERIOD
_,_,_,Doris,Hull,COMMA,suffering,NNP
_,_,Doris,Hull,COMMA,suffering,from,NNP
_,Doris,Hull,COMMA,suffering,from,tuberculosis,COMMA
Doris,Hull,COMMA,suffering,from,tuberculosis,COMMA,VBG
Hull,COMMA,suffering,from,tuberculosis,COMMA,was,IN
COMMA,suffering,from,tuberculosis,COMMA,was,taken,NN
suffering,from,tuberculosis,COMMA,was,taken,by,COMMA
from,tuberculosis,COMMA,was,taken,by,her,VBD
tuberculosis,COMMA,was,taken,by,her,husband,VBN
COMMA,was,taken,by,her,husband,to,IN
was,taken,by,her,husband,to,see,PRPSTR
taken,by,her,husband,to,see,Otis,NN
by,her,husband,to,see,Otis,GPERIOD,TO
her,husband,to,see,Otis,GPERIOD,Carroll,VB
husband,to,see,Otis,GPERIOD,Carroll,COMMA,NNP
to,see,Otis,GPERIOD,Carroll,COMMA,a,NNP
see,Otis,GPERIOD,Carroll,COMMA,a,sanipractor,NNP
Otis,GPERIOD,Carroll,COMMA,a,sanipractor,--,COMMA
GPERIOD,Carroll,COMMA,a,sanipractor,--,a,DT
Carroll,COMMA,a,sanipractor,--,a,licensed,NN
COMMA,a,sanipractor,--,a,licensed,drugless,COLON
a,sanipractor,--,a,licensed,drugless,healer,DT
sanipractor,--,a,licensed,drugless,healer,--,VBN
--,a,licensed,drugless,healer,--,in,JJ
a,licensed,drugless,healer,--,in,Spokane,NN
licensed,drugless,healer,--,in,Spokane,PERIOD,COLON
drugless,healer,--,in,Spokane,PERIOD,_,IN
healer,--,in,Spokane,PERIOD,_,_,NNP
--,in,Spokane,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,I,am,what,DBQ
_,_,DBQ,I,am,what,I,PRP
_,DBQ,I,am,what,I,am,VBP
DBQ,I,am,what,I,am,PERIOD,WP
I,am,what,I,am,PERIOD,_,PRP
am,what,I,am,PERIOD,_,_,VBP
what,I,am,PERIOD,_,_,_,PERIOD
_,_,_,OPEC,has,repeatedly,raised,NNP
_,_,OPEC,has,repeatedly,raised,its,VBZ
_,OPEC,has,repeatedly,raised,its,self-imposed,RB
OPEC,has,repeatedly,raised,its,self-imposed,production,VBN
has,repeatedly,raised,its,self-imposed,production,ceiling,PRPSTR
repeatedly,raised,its,self-imposed,production,ceiling,to,JJ
raised,its,self-imposed,production,ceiling,to,legitimize,NN
its,self-imposed,production,ceiling,to,legitimize,some,NN
self-imposed,production,ceiling,to,legitimize,some,of,TO
production,ceiling,to,legitimize,some,of,that,VB
ceiling,to,legitimize,some,of,that,unauthorized,DT
to,legitimize,some,of,that,unauthorized,output,IN
legitimize,some,of,that,unauthorized,output,PERIOD,DT
some,of,that,unauthorized,output,PERIOD,_,JJ
of,that,unauthorized,output,PERIOD,_,_,NN
that,unauthorized,output,PERIOD,_,_,_,PERIOD
_,_,_,In,late,trading,COMMA,IN
_,_,In,late,trading,COMMA,New,JJ
_,In,late,trading,COMMA,New,Jersey,NN
In,late,trading,COMMA,New,Jersey,Turnpike,COMMA
late,trading,COMMA,New,Jersey,Turnpike,Authority,NNP
trading,COMMA,New,Jersey,Turnpike,Authority,SQs,NNP
COMMA,New,Jersey,Turnpike,Authority,SQs,7PERIOD20,NNP
New,Jersey,Turnpike,Authority,SQs,7PERIOD20,PERCENT,NNP
Jersey,Turnpike,Authority,SQs,7PERIOD20,PERCENT,issue,POS
Turnpike,Authority,SQs,7PERIOD20,PERCENT,issue,of,CD
Authority,SQs,7PERIOD20,PERCENT,issue,of,2018,NN
SQs,7PERIOD20,PERCENT,issue,of,2018,was,NN
7PERIOD20,PERCENT,issue,of,2018,was,off,IN
PERCENT,issue,of,2018,was,off,'1\\/4',CD
issue,of,2018,was,off,'1\\/4',point,VBD
of,2018,was,off,'1\\/4',point,at,RB
2018,was,off,'1\\/4',point,at,98,CD
was,off,'1\\/4',point,at,98,bid,NN
off,'1\\/4',point,at,98,bid,PERIOD,IN
'1\\/4',point,at,98,bid,PERIOD,_,CD
point,at,98,bid,PERIOD,_,_,NN
at,98,bid,PERIOD,_,_,_,PERIOD
_,_,_,Captain,COMMA,I,am,NNP
_,_,Captain,COMMA,I,am,innocent,COMMA
_,Captain,COMMA,I,am,innocent,of,PRP
Captain,COMMA,I,am,innocent,of,any,VBP
COMMA,I,am,innocent,of,any,plot,JJ
I,am,innocent,of,any,plot,against,IN
am,innocent,of,any,plot,against,you,DT
innocent,of,any,plot,against,you,or,NN
of,any,plot,against,you,or,the,IN
any,plot,against,you,or,the,ship,PRP
plot,against,you,or,the,ship,DQ,CC
against,you,or,the,ship,DQ,PERIOD,DT
you,or,the,ship,DQ,PERIOD,_,NN
or,the,ship,DQ,PERIOD,_,_,DQ
the,ship,DQ,PERIOD,_,_,_,PERIOD
_,_,_,The,central,charge,against,DT
_,_,The,central,charge,against,Judge,JJ
_,The,central,charge,against,Judge,Hastings,NN
The,central,charge,against,Judge,Hastings,is,IN
central,charge,against,Judge,Hastings,is,that,NNP
charge,against,Judge,Hastings,is,that,he,NNP
against,Judge,Hastings,is,that,he,conspired,VBZ
Judge,Hastings,is,that,he,conspired,with,IN
Hastings,is,that,he,conspired,with,a,PRP
is,that,he,conspired,with,a,Washington,VBD
that,he,conspired,with,a,Washington,lawyer,IN
he,conspired,with,a,Washington,lawyer,to,DT
conspired,with,a,Washington,lawyer,to,obtain,NNP
with,a,Washington,lawyer,to,obtain,a,NN
a,Washington,lawyer,to,obtain,a,STR,TO
Washington,lawyer,to,obtain,a,STR,150COMMA000,VB
lawyer,to,obtain,a,STR,150COMMA000,bribe,DT
to,obtain,a,STR,150COMMA000,bribe,from,STR
obtain,a,STR,150COMMA000,bribe,from,defendants,CD
a,STR,150COMMA000,bribe,from,defendants,in,NN
STR,150COMMA000,bribe,from,defendants,in,a,IN
150COMMA000,bribe,from,defendants,in,a,criminal,NNS
bribe,from,defendants,in,a,criminal,case,IN
from,defendants,in,a,criminal,case,before,DT
defendants,in,a,criminal,case,before,the,JJ
in,a,criminal,case,before,the,judge,NN
a,criminal,case,before,the,judge,COMMA,IN
criminal,case,before,the,judge,COMMA,in,DT
case,before,the,judge,COMMA,in,return,NN
before,the,judge,COMMA,in,return,for,COMMA
the,judge,COMMA,in,return,for,leniency,IN
judge,COMMA,in,return,for,leniency,PERIOD,NN
COMMA,in,return,for,leniency,PERIOD,_,IN
in,return,for,leniency,PERIOD,_,_,NN
return,for,leniency,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,It,became,apparent,DBQ
_,_,DBQ,It,became,apparent,in,PRP
_,DBQ,It,became,apparent,in,hearings,VBD
DBQ,It,became,apparent,in,hearings,that,JJ
It,became,apparent,in,hearings,that,there,IN
became,apparent,in,hearings,that,there,ought,NNS
apparent,in,hearings,that,there,ought,to,IN
in,hearings,that,there,ought,to,be,EX
hearings,that,there,ought,to,be,regulation,MD
that,there,ought,to,be,regulation,of,TO
there,ought,to,be,regulation,of,leveraged,VB
ought,to,be,regulation,of,leveraged,buy-outs,NN
to,be,regulation,of,leveraged,buy-outs,of,IN
be,regulation,of,leveraged,buy-outs,of,some,JJ
regulation,of,leveraged,buy-outs,of,some,sort,NNS
of,leveraged,buy-outs,of,some,sort,COMMA,IN
leveraged,buy-outs,of,some,sort,COMMA,DQ,DT
buy-outs,of,some,sort,COMMA,DQ,RepPERIOD,NN
of,some,sort,COMMA,DQ,RepPERIOD,James,COMMA
some,sort,COMMA,DQ,RepPERIOD,James,Oberstar,DQ
sort,COMMA,DQ,RepPERIOD,James,Oberstar,(,NNP
COMMA,DQ,RepPERIOD,James,Oberstar,(,DPERIOD,NNP
DQ,RepPERIOD,James,Oberstar,(,DPERIOD,COMMA,NNP
RepPERIOD,James,Oberstar,(,DPERIOD,COMMA,MinnPERIOD,(
James,Oberstar,(,DPERIOD,COMMA,MinnPERIOD,),NNP
Oberstar,(,DPERIOD,COMMA,MinnPERIOD,),COMMA,COMMA
(,DPERIOD,COMMA,MinnPERIOD,),COMMA,chairman,NNP
DPERIOD,COMMA,MinnPERIOD,),COMMA,chairman,of,)
COMMA,MinnPERIOD,),COMMA,chairman,of,the,COMMA
MinnPERIOD,),COMMA,chairman,of,the,House,NN
),COMMA,chairman,of,the,House,Aviation,IN
COMMA,chairman,of,the,House,Aviation,Subcommittee,DT
chairman,of,the,House,Aviation,Subcommittee,COMMA,NNP
of,the,House,Aviation,Subcommittee,COMMA,said,NNP
the,House,Aviation,Subcommittee,COMMA,said,during,NNP
House,Aviation,Subcommittee,COMMA,said,during,the,COMMA
Aviation,Subcommittee,COMMA,said,during,the,panel,VBD
Subcommittee,COMMA,said,during,the,panel,SQs,IN
COMMA,said,during,the,panel,SQs,deliberations,DT
said,during,the,panel,SQs,deliberations,PERIOD,NN
during,the,panel,SQs,deliberations,PERIOD,_,POS
the,panel,SQs,deliberations,PERIOD,_,_,NNS
panel,SQs,deliberations,PERIOD,_,_,_,PERIOD
_,_,_,In,addition,COMMA,in,IN
_,_,In,addition,COMMA,in,any,NN
_,In,addition,COMMA,in,any,survey,COMMA
In,addition,COMMA,in,any,survey,COMMA,IN
addition,COMMA,in,any,survey,COMMA,there,DT
COMMA,in,any,survey,COMMA,there,is,NN
in,any,survey,COMMA,there,is,always,COMMA
any,survey,COMMA,there,is,always,the,EX
survey,COMMA,there,is,always,the,chance,VBZ
COMMA,there,is,always,the,chance,that,RB
there,is,always,the,chance,that,other,DT
is,always,the,chance,that,other,factors,NN
always,the,chance,that,other,factors,such,IN
the,chance,that,other,factors,such,as,JJ
chance,that,other,factors,such,as,question,NNS
that,other,factors,such,as,question,wording,JJ
other,factors,such,as,question,wording,could,IN
factors,such,as,question,wording,could,introduce,NN
such,as,question,wording,could,introduce,errors,NN
as,question,wording,could,introduce,errors,into,MD
question,wording,could,introduce,errors,into,the,VB
wording,could,introduce,errors,into,the,findings,NNS
could,introduce,errors,into,the,findings,PERIOD,IN
introduce,errors,into,the,findings,PERIOD,_,DT
errors,into,the,findings,PERIOD,_,_,NNS
into,the,findings,PERIOD,_,_,_,PERIOD
_,_,_,Then,epistolatory,me,was,RB
_,_,Then,epistolatory,me,was,a,JJ
_,Then,epistolatory,me,was,a,foreign,PRP
Then,epistolatory,me,was,a,foreign,correspondent,VBD
epistolatory,me,was,a,foreign,correspondent,dispatching,DT
me,was,a,foreign,correspondent,dispatching,exciting,JJ
was,a,foreign,correspondent,dispatching,exciting,cables,NN
a,foreign,correspondent,dispatching,exciting,cables,and,VBG
foreign,correspondent,dispatching,exciting,cables,and,communiques,JJ
correspondent,dispatching,exciting,cables,and,communiques,COMMA,NNS
dispatching,exciting,cables,and,communiques,COMMA,full,CC
exciting,cables,and,communiques,COMMA,full,of,NNS
cables,and,communiques,COMMA,full,of,dash,COMMA
and,communiques,COMMA,full,of,dash,and,JJ
communiques,COMMA,full,of,dash,and,wit,IN
COMMA,full,of,dash,and,wit,and,NN
full,of,dash,and,wit,and,glamor,CC
of,dash,and,wit,and,glamor,COMMA,NN
dash,and,wit,and,glamor,COMMA,quoting,CC
and,wit,and,glamor,COMMA,quoting,from,NN
wit,and,glamor,COMMA,quoting,from,the,COMMA
and,glamor,COMMA,quoting,from,the,books,VBG
glamor,COMMA,quoting,from,the,books,I,IN
COMMA,quoting,from,the,books,I,read,DT
quoting,from,the,books,I,read,COMMA,NNS
from,the,books,I,read,COMMA,imitating,PRP
the,books,I,read,COMMA,imitating,the,VBN
books,I,read,COMMA,imitating,the,grand,COMMA
I,read,COMMA,imitating,the,grand,styles,VBG
read,COMMA,imitating,the,grand,styles,of,DT
COMMA,imitating,the,grand,styles,of,the,JJ
imitating,the,grand,styles,of,the,authors,NNS
the,grand,styles,of,the,authors,recommended,IN
grand,styles,of,the,authors,recommended,by,DT
styles,of,the,authors,recommended,by,a,NNS
of,the,authors,recommended,by,a,teacher,VBN
the,authors,recommended,by,a,teacher,in,IN
authors,recommended,by,a,teacher,in,whose,DT
recommended,by,a,teacher,in,whose,special,NN
by,a,teacher,in,whose,special,COMMA,IN
a,teacher,in,whose,special,COMMA,after-school,WPSTR
teacher,in,whose,special,COMMA,after-school,class,JJ
in,whose,special,COMMA,after-school,class,I,COMMA
whose,special,COMMA,after-school,class,I,was,JJ
special,COMMA,after-school,class,I,was,enrolled,NN
COMMA,after-school,class,I,was,enrolled,PERIOD,PRP
after-school,class,I,was,enrolled,PERIOD,_,VBD
class,I,was,enrolled,PERIOD,_,_,VBN
I,was,enrolled,PERIOD,_,_,_,PERIOD
_,_,_,In,what,was,considered,IN
_,_,In,what,was,considered,the,WP
_,In,what,was,considered,the,largest,VBD
In,what,was,considered,the,largest,protest,VBN
what,was,considered,the,largest,protest,in,DT
was,considered,the,largest,protest,in,the,JJS
considered,the,largest,protest,in,the,Communist,NN
the,largest,protest,in,the,Communist,state,IN
largest,protest,in,the,Communist,state,SQs,DT
protest,in,the,Communist,state,SQs,40-year,JJ
in,the,Communist,state,SQs,40-year,history,NN
the,Communist,state,SQs,40-year,history,COMMA,POS
Communist,state,SQs,40-year,history,COMMA,at,JJ
state,SQs,40-year,history,COMMA,at,least,NN
SQs,40-year,history,COMMA,at,least,120COMMA000,COMMA
40-year,history,COMMA,at,least,120COMMA000,demonstrators,IN
history,COMMA,at,least,120COMMA000,demonstrators,marched,JJS
COMMA,at,least,120COMMA000,demonstrators,marched,through,CD
at,least,120COMMA000,demonstrators,marched,through,the,NNS
least,120COMMA000,demonstrators,marched,through,the,southern,VBN
120COMMA000,demonstrators,marched,through,the,southern,city,IN
demonstrators,marched,through,the,southern,city,of,DT
marched,through,the,southern,city,of,Leipzig,JJ
through,the,southern,city,of,Leipzig,to,NN
the,southern,city,of,Leipzig,to,press,IN
southern,city,of,Leipzig,to,press,demands,NNP
city,of,Leipzig,to,press,demands,for,TO
of,Leipzig,to,press,demands,for,democratic,VB
Leipzig,to,press,demands,for,democratic,freedoms,NNS
to,press,demands,for,democratic,freedoms,COMMA,IN
press,demands,for,democratic,freedoms,COMMA,opposition,JJ
demands,for,democratic,freedoms,COMMA,opposition,activists,NNS
for,democratic,freedoms,COMMA,opposition,activists,said,COMMA
democratic,freedoms,COMMA,opposition,activists,said,PERIOD,NN
freedoms,COMMA,opposition,activists,said,PERIOD,_,NNS
COMMA,opposition,activists,said,PERIOD,_,_,VBD
opposition,activists,said,PERIOD,_,_,_,PERIOD
_,_,_,The,peddler,came,bawling,DT
_,_,The,peddler,came,bawling,his,NN
_,The,peddler,came,bawling,his,wares,VBD
The,peddler,came,bawling,his,wares,and,VBG
peddler,came,bawling,his,wares,and,told,PRPSTR
came,bawling,his,wares,and,told,them,NNS
bawling,his,wares,and,told,them,of,CC
his,wares,and,told,them,of,the,VBD
wares,and,told,them,of,the,convention,PRP
and,told,them,of,the,convention,in,IN
told,them,of,the,convention,in,Wheeling,DT
them,of,the,convention,in,Wheeling,COMMA,NN
of,the,convention,in,Wheeling,COMMA,Which,IN
the,convention,in,Wheeling,COMMA,Which,had,NNP
convention,in,Wheeling,COMMA,Which,had,formed,COMMA
in,Wheeling,COMMA,Which,had,formed,a,WDT
Wheeling,COMMA,Which,had,formed,a,new,VBD
COMMA,Which,had,formed,a,new,state,VBN
Which,had,formed,a,new,state,government,DT
had,formed,a,new,state,government,by,JJ
formed,a,new,state,government,by,declaring,NN
a,new,state,government,by,declaring,the,NN
new,state,government,by,declaring,the,government,IN
state,government,by,declaring,the,government,at,VBG
government,by,declaring,the,government,at,Richmond,DT
by,declaring,the,government,at,Richmond,in,NN
declaring,the,government,at,Richmond,in,the,IN
the,government,at,Richmond,in,the,east,NNP
government,at,Richmond,in,the,east,illegal,IN
at,Richmond,in,the,east,illegal,because,DT
Richmond,in,the,east,illegal,because,they,JJ
in,the,east,illegal,because,they,were,JJ
the,east,illegal,because,they,were,traitors,IN
east,illegal,because,they,were,traitors,PERIOD,PRP
illegal,because,they,were,traitors,PERIOD,_,VBD
